,image,class,format,mode,shape
51,Schizophrenia (1041).JPG,infected,JPEG,RGB,"(249, 178, 3)"
52,Schizophrenia (1042).JPG,infected,JPEG,RGB,"(298, 260, 3)"
53,Schizophrenia (1043).JPG,infected,JPEG,RGB,"(269, 249, 3)"
54,Schizophrenia (1044).JPG,infected,JPEG,RGB,"(310, 246, 3)"
55,Schizophrenia (1045).jpg,infected,JPEG,RGB,"(938, 911, 3)"
56,Schizophrenia (1046).jpg,infected,JPEG,RGB,"(255, 197, 3)"
57,Schizophrenia (1047).JPG,infected,JPEG,RGB,"(245, 224, 3)"
58,Schizophrenia (1048).jpg,infected,JPEG,RGB,"(243, 205, 3)"
59,Schizophrenia (1049).jpg,infected,JPEG,RGB,"(340, 288, 3)"
60,Schizophrenia (105).jpg,infected,JPEG,RGB,"(512, 512, 3)"
61,Schizophrenia (1050).jpg,infected,JPEG,RGB,"(233, 215, 3)"
62,Schizophrenia (1051).jpg,infected,JPEG,RGB,"(456, 374, 3)"
63,Schizophrenia (1052).jpg,infected,JPEG,RGB,"(349, 300, 3)"
64,Schizophrenia (1053).jpg,infected,JPEG,RGB,"(290, 250, 3)"
65,Schizophrenia (1054).jpg,infected,JPEG,RGB,"(338, 264, 3)"
66,Schizophrenia (1055).jpg,infected,JPEG,RGB,"(442, 353, 3)"
67,Schizophrenia (1056).jpg,infected,JPEG,RGB,"(353, 300, 3)"
68,Schizophrenia (1057).jpg,infected,JPEG,RGB,"(251, 201, 3)"
69,Schizophrenia (1058).jpg,infected,JPEG,RGB,"(431, 400, 3)"
70,Schizophrenia (1059).jpg,infected,JPEG,RGB,"(446, 450, 3)"
71,Schizophrenia (106).jpg,infected,JPEG,RGB,"(512, 512, 3)"
72,Schizophrenia (1060).jpg,infected,JPEG,RGB,"(234, 216, 3)"
73,Schizophrenia (1061).jpg,infected,JPEG,RGB,"(223, 226, 3)"
74,Schizophrenia (1062).jpg,infected,JPEG,RGB,"(308, 244, 3)"
75,Schizophrenia (1063).jpg,infected,JPEG,RGB,"(350, 272, 3)"
76,Schizophrenia (1064).jpg,infected,JPEG,RGB,"(286, 241, 3)"
77,Schizophrenia (1065).jpg,infected,JPEG,RGB,"(630, 630, 3)"
78,Schizophrenia (1066).jpg,infected,JPEG,RGB,"(260, 194, 3)"
79,Schizophrenia (1067).jpg,infected,JPEG,RGB,"(225, 225, 3)"
80,Schizophrenia (1068).jpg,infected,JPEG,RGB,"(938, 864, 3)"
81,Schizophrenia (1069).jpg,infected,JPEG,RGB,"(355, 272, 3)"
82,Schizophrenia (107).jpg,infected,JPEG,RGB,"(512, 512, 3)"
83,Schizophrenia (1070).jpg,infected,JPEG,RGB,"(323, 276, 3)"
84,Schizophrenia (1071).jpg,infected,JPEG,RGB,"(357, 283, 3)"
85,Schizophrenia (1072).jpg,infected,JPEG,RGB,"(348, 287, 3)"
86,Schizophrenia (1073).JPG,infected,JPEG,RGB,"(355, 311, 3)"
87,Schizophrenia (1074).JPG,infected,JPEG,RGB,"(352, 321, 3)"
88,Schizophrenia (1075).JPG,infected,JPEG,RGB,"(283, 231, 3)"
89,Schizophrenia (1076).jpg,infected,JPEG,RGB,"(309, 232, 3)"
90,Schizophrenia (1077).jpg,infected,JPEG,RGB,"(334, 283, 3)"
91,Schizophrenia (1078).jpg,infected,JPEG,RGB,"(348, 297, 3)"
92,Schizophrenia (1079).jpg,infected,JPEG,RGB,"(351, 273, 3)"
93,Schizophrenia (108).jpg,infected,JPEG,RGB,"(512, 512, 3)"
94,Schizophrenia (1080).jpg,infected,JPEG,RGB,"(359, 300, 3)"
95,Schizophrenia (1081).jpg,infected,JPEG,RGB,"(431, 400, 3)"
96,Schizophrenia (1082).JPG,infected,JPEG,RGB,"(355, 310, 3)"
97,Schizophrenia (1083).JPG,infected,JPEG,RGB,"(370, 286, 3)"
98,Schizophrenia (1084).JPG,infected,JPEG,RGB,"(309, 232, 3)"
99,Schizophrenia (1085).JPG,infected,JPEG,RGB,"(334, 283, 3)"
100,Schizophrenia (1086).JPG,infected,JPEG,RGB,"(354, 303, 3)"
101,Schizophrenia (1087).JPG,infected,JPEG,RGB,"(348, 297, 3)"
102,Schizophrenia (1088).JPG,infected,JPEG,RGB,"(351, 273, 3)"
103,Schizophrenia (1089).jpg,infected,JPEG,RGB,"(1200, 1059, 3)"
104,Schizophrenia (109).jpg,infected,JPEG,RGB,"(512, 512, 3)"
105,Schizophrenia (1090).JPG,infected,JPEG,RGB,"(316, 270, 3)"
106,Schizophrenia (1091).JPG,infected,JPEG,RGB,"(336, 264, 3)"
107,Schizophrenia (1092).JPG,infected,JPEG,RGB,"(303, 223, 3)"
108,Schizophrenia (1093).JPG,infected,JPEG,RGB,"(291, 253, 3)"
109,Schizophrenia (1094).JPG,infected,JPEG,RGB,"(350, 272, 3)"
110,Schizophrenia (1095).jpg,infected,JPEG,RGB,"(300, 263, 3)"
111,Schizophrenia (1096).jpg,infected,JPEG,RGB,"(325, 254, 3)"
112,Schizophrenia (1097).JPG,infected,JPEG,RGB,"(355, 290, 3)"
113,Schizophrenia (1098).jpg,infected,JPEG,RGB,"(338, 248, 3)"
114,Schizophrenia (1099).jpg,infected,JPEG,RGB,"(331, 260, 3)"
115,Schizophrenia (11).jpg,infected,JPEG,RGB,"(512, 512, 3)"
116,Schizophrenia (11).tif,infected,TIFF,RGB,"(256, 256, 3)"
117,Schizophrenia (110).jpg,infected,JPEG,RGB,"(512, 512, 3)"
118,Schizophrenia (1100).jpg,infected,JPEG,RGB,"(236, 213, 3)"
119,Schizophrenia (1101).jpg,infected,JPEG,RGB,"(338, 283, 3)"
120,Schizophrenia (1102).jpg,infected,JPEG,RGB,"(251, 201, 3)"
121,Schizophrenia (1103).jpg,infected,JPEG,RGB,"(295, 283, 3)"
122,Schizophrenia (1104).jpg,infected,JPEG,RGB,"(352, 281, 3)"
123,Schizophrenia (1105).jpg,infected,JPEG,RGB,"(960, 781, 3)"
124,Schizophrenia (1106).jpg,infected,JPEG,RGB,"(349, 292, 3)"
125,Schizophrenia (1107).jpg,infected,JPEG,RGB,"(586, 467, 3)"
126,Schizophrenia (1108).jpg,infected,JPEG,RGB,"(380, 310, 3)"
127,Schizophrenia (1109).JPG,infected,JPEG,RGB,"(318, 273, 3)"
128,Schizophrenia (111).jpg,infected,JPEG,RGB,"(512, 512, 3)"
129,Schizophrenia (1110).jpg,infected,JPEG,RGB,"(347, 300, 3)"
130,Schizophrenia (1111).JPG,infected,JPEG,RGB,"(173, 189, 3)"
131,Schizophrenia (1112).jpg,infected,JPEG,RGB,"(380, 318, 3)"
132,Schizophrenia (1113).jpg,infected,JPEG,RGB,"(450, 355, 3)"
133,Schizophrenia (1114).jpg,infected,JPEG,RGB,"(244, 206, 3)"
134,Schizophrenia (1115).jpg,infected,JPEG,RGB,"(879, 766, 3)"
135,Schizophrenia (1116).jpg,infected,JPEG,RGB,"(210, 200, 3)"
136,Schizophrenia (1117).jpg,infected,JPEG,RGB,"(337, 293, 3)"
137,Schizophrenia (1118).jpg,infected,JPEG,RGB,"(340, 291, 3)"
138,Schizophrenia (1119).JPG,infected,JPEG,RGB,"(342, 273, 3)"
139,Schizophrenia (112).jpg,infected,JPEG,RGB,"(512, 512, 3)"
140,Schizophrenia (1120).JPG,infected,JPEG,RGB,"(351, 262, 3)"
141,Schizophrenia (1121).jpg,infected,JPEG,RGB,"(256, 256, 3)"
142,Schizophrenia (1122).JPG,infected,JPEG,RGB,"(340, 314, 3)"
143,Schizophrenia (1123).jpg,infected,JPEG,RGB,"(340, 288, 3)"
144,Schizophrenia (1124).jpg,infected,JPEG,RGB,"(630, 504, 3)"
145,Schizophrenia (1125).jpg,infected,JPEG,RGB,"(456, 374, 3)"
146,Schizophrenia (1126).jpg,infected,JPEG,RGB,"(442, 353, 3)"
147,Schizophrenia (1127).jpg,infected,JPEG,RGB,"(353, 300, 3)"
148,Schizophrenia (1128).jpg,infected,JPEG,RGB,"(223, 226, 3)"
149,Schizophrenia (1129).jpg,infected,JPEG,RGB,"(350, 272, 3)"
150,Schizophrenia (113).jpg,infected,JPEG,RGB,"(512, 512, 3)"
151,Schizophrenia (1130).jpg,infected,JPEG,RGB,"(286, 241, 3)"
152,Schizophrenia (1131).jpg,infected,JPEG,RGB,"(630, 630, 3)"
153,Schizophrenia (1132).jpg,infected,JPEG,RGB,"(260, 194, 3)"
154,Schizophrenia (1133).jpg,infected,JPEG,RGB,"(225, 225, 3)"
155,Schizophrenia (1134).jpg,infected,JPEG,RGB,"(938, 864, 3)"
156,Schizophrenia (1135).jpg,infected,JPEG,RGB,"(323, 276, 3)"
157,Schizophrenia (1136).jpg,infected,JPEG,RGB,"(357, 283, 3)"
158,Schizophrenia (1137).jpg,infected,JPEG,RGB,"(348, 287, 3)"
159,Schizophrenia (1138).jpg,infected,JPEG,RGB,"(630, 587, 3)"
160,Schizophrenia (1139).jpg,infected,JPEG,RGB,"(1200, 1059, 3)"
161,Schizophrenia (114).jpg,infected,JPEG,RGB,"(512, 512, 3)"
162,Schizophrenia (1140).jpg,infected,JPEG,RGB,"(309, 232, 3)"
163,Schizophrenia (1141).jpg,infected,JPEG,RGB,"(348, 297, 3)"
164,Schizophrenia (1142).jpg,infected,JPEG,RGB,"(336, 264, 3)"
165,Schizophrenia (1143).jpg,infected,JPEG,RGB,"(303, 223, 3)"
166,Schizophrenia (1144).jpg,infected,JPEG,RGB,"(355, 290, 3)"
167,Schizophrenia (1145).jpg,infected,JPEG,RGB,"(354, 279, 3)"
168,Schizophrenia (1146).jpg,infected,JPEG,RGB,"(318, 273, 3)"
169,Schizophrenia (1147).jpg,infected,JPEG,RGB,"(347, 300, 3)"
170,Schizophrenia (1148).jpg,infected,JPEG,RGB,"(173, 189, 3)"
171,Schizophrenia (1149).jpg,infected,JPEG,RGB,"(359, 297, 3)"
172,Schizophrenia (115).jpg,infected,JPEG,RGB,"(512, 512, 3)"
173,Schizophrenia (1150).jpg,infected,JPEG,RGB,"(342, 273, 3)"
174,Schizophrenia (1151).jpg,infected,JPEG,RGB,"(351, 262, 3)"
175,Schizophrenia (1152).jpg,infected,JPEG,RGB,"(256, 256, 3)"
176,Schizophrenia (1153).jpg,infected,JPEG,RGB,"(340, 314, 3)"
177,Schizophrenia (1154).jpg,infected,JPEG,RGB,"(300, 240, 3)"
178,Schizophrenia (1155).jpg,infected,JPEG,RGB,"(277, 272, 3)"
179,Schizophrenia (1156).jpg,infected,JPEG,RGB,"(344, 279, 3)"
180,Schizophrenia (1157).jpg,infected,JPEG,RGB,"(331, 272, 3)"
181,Schizophrenia (1158).jpg,infected,JPEG,RGB,"(351, 278, 3)"
182,Schizophrenia (1159).jpg,infected,JPEG,RGB,"(237, 213, 3)"
183,Schizophrenia (116).jpg,infected,JPEG,RGB,"(512, 512, 3)"
184,Schizophrenia (1160).jpg,infected,JPEG,RGB,"(355, 294, 3)"
185,Schizophrenia (1161).jpg,infected,JPEG,RGB,"(236, 213, 3)"
186,Schizophrenia (1162).jpg,infected,JPEG,RGB,"(256, 197, 3)"
187,Schizophrenia (1163).jpg,infected,JPEG,RGB,"(338, 283, 3)"
188,Schizophrenia (1164).jpg,infected,JPEG,RGB,"(251, 201, 3)"
189,Schizophrenia (1165).jpg,infected,JPEG,RGB,"(295, 283, 3)"
190,Schizophrenia (1166).jpg,infected,JPEG,RGB,"(352, 281, 3)"
191,Schizophrenia (1167).jpg,infected,JPEG,RGB,"(960, 781, 3)"
192,Schizophrenia (1168).jpg,infected,JPEG,RGB,"(349, 292, 3)"
193,Schizophrenia (1169).JPG,infected,JPEG,RGB,"(344, 279, 3)"
194,Schizophrenia (117).jpg,infected,JPEG,RGB,"(512, 512, 3)"
195,Schizophrenia (1170).JPG,infected,JPEG,RGB,"(331, 272, 3)"
196,Schizophrenia (1171).JPG,infected,JPEG,RGB,"(351, 278, 3)"
197,Schizophrenia (1172).jpg,infected,JPEG,RGB,"(237, 213, 3)"
198,Schizophrenia (1173).JPG,infected,JPEG,RGB,"(355, 294, 3)"
199,Schizophrenia (1174).JPG,infected,JPEG,RGB,"(338, 248, 3)"
200,Schizophrenia (1175).JPG,infected,JPEG,RGB,"(315, 289, 3)"
201,Schizophrenia (1176).JPG,infected,JPEG,RGB,"(331, 260, 3)"
202,Schizophrenia (1177).jpg,infected,JPEG,RGB,"(236, 213, 3)"
203,Schizophrenia (1178).JPG,infected,JPEG,RGB,"(349, 278, 3)"
204,Schizophrenia (1179).jpg,infected,JPEG,RGB,"(256, 197, 3)"
205,Schizophrenia (118).jpg,infected,JPEG,RGB,"(512, 512, 3)"
206,Schizophrenia (1180).JPG,infected,JPEG,RGB,"(338, 283, 3)"
207,Schizophrenia (1181).jpg,infected,JPEG,RGB,"(251, 201, 3)"
208,Schizophrenia (1182).JPG,infected,JPEG,RGB,"(295, 283, 3)"
209,Schizophrenia (1183).JPG,infected,JPEG,RGB,"(352, 281, 3)"
210,Schizophrenia (1184).jpg,infected,JPEG,RGB,"(960, 781, 3)"
211,Schizophrenia (1185).JPG,infected,JPEG,RGB,"(349, 292, 3)"
212,Schizophrenia (1186).JPG,infected,JPEG,RGB,"(324, 278, 3)"
213,Schizophrenia (1187).jpg,infected,JPEG,RGB,"(255, 197, 3)"
214,Schizophrenia (1188).jpg,infected,JPEG,RGB,"(520, 433, 3)"
215,Schizophrenia (1189).jpg,infected,JPEG,RGB,"(243, 205, 3)"
216,Schizophrenia (119).jpg,infected,JPEG,RGB,"(512, 512, 3)"
217,Schizophrenia (1190).jpg,infected,JPEG,RGB,"(340, 288, 3)"
218,Schizophrenia (1191).jpg,infected,JPEG,RGB,"(630, 504, 3)"
219,Schizophrenia (1192).jpg,infected,JPEG,RGB,"(456, 374, 3)"
220,Schizophrenia (1193).jpg,infected,JPEG,RGB,"(349, 300, 3)"
221,Schizophrenia (1194).jpg,infected,JPEG,RGB,"(290, 250, 3)"
222,Schizophrenia (1195).jpg,infected,JPEG,RGB,"(442, 353, 3)"
223,Schizophrenia (1196).jpg,infected,JPEG,RGB,"(353, 300, 3)"
224,Schizophrenia (1197).jpg,infected,JPEG,RGB,"(446, 450, 3)"
225,Schizophrenia (1198).jpg,infected,JPEG,RGB,"(234, 216, 3)"
226,Schizophrenia (1199).jpg,infected,JPEG,RGB,"(350, 272, 3)"
227,Schizophrenia (12).jpg,infected,JPEG,RGB,"(512, 512, 3)"
228,Schizophrenia (12).tif,infected,TIFF,RGB,"(256, 256, 3)"
229,Schizophrenia (120).jpg,infected,JPEG,RGB,"(512, 512, 3)"
230,Schizophrenia (1200).jpg,infected,JPEG,RGB,"(286, 241, 3)"
231,Schizophrenia (1201).jpg,infected,JPEG,RGB,"(630, 630, 3)"
232,Schizophrenia (1202).jpg,infected,JPEG,RGB,"(260, 194, 3)"
233,Schizophrenia (1203).jpg,infected,JPEG,RGB,"(225, 225, 3)"
234,Schizophrenia (1204).jpg,infected,JPEG,RGB,"(938, 864, 3)"
235,Schizophrenia (1205).jpg,infected,JPEG,RGB,"(355, 272, 3)"
236,Schizophrenia (1206).jpg,infected,JPEG,RGB,"(323, 276, 3)"
237,Schizophrenia (1207).jpg,infected,JPEG,RGB,"(357, 283, 3)"
238,Schizophrenia (1208).jpg,infected,JPEG,RGB,"(348, 287, 3)"
240,Schizophrenia (121).jpg,infected,JPEG,RGB,"(512, 512, 3)"
241,Schizophrenia (1210).jpg,infected,JPEG,RGB,"(630, 587, 3)"
242,Schizophrenia (1211).jpg,infected,JPEG,RGB,"(1200, 1059, 3)"
243,Schizophrenia (1212).jpg,infected,JPEG,RGB,"(279, 258, 3)"
244,Schizophrenia (1213).jpg,infected,JPEG,RGB,"(369, 400, 3)"
245,Schizophrenia (1214).jpg,infected,JPEG,RGB,"(359, 300, 3)"
246,Schizophrenia (1215).jpg,infected,JPEG,RGB,"(431, 400, 3)"
247,Schizophrenia (1216).jpg,infected,JPEG,RGB,"(355, 310, 3)"
248,Schizophrenia (1217).jpg,infected,JPEG,RGB,"(370, 286, 3)"
249,Schizophrenia (1218).jpg,infected,JPEG,RGB,"(309, 232, 3)"
250,Schizophrenia (1219).jpg,infected,JPEG,RGB,"(334, 283, 3)"
251,Schizophrenia (122).jpg,infected,JPEG,RGB,"(512, 512, 3)"
252,Schizophrenia (1220).jpg,infected,JPEG,RGB,"(354, 303, 3)"
253,Schizophrenia (1221).jpg,infected,JPEG,RGB,"(348, 297, 3)"
254,Schizophrenia (1222).jpg,infected,JPEG,RGB,"(351, 273, 3)"
255,Schizophrenia (1223).jpg,infected,JPEG,RGB,"(316, 270, 3)"
256,Schizophrenia (1224).jpg,infected,JPEG,RGB,"(336, 264, 3)"
257,Schizophrenia (1225).jpg,infected,JPEG,RGB,"(303, 223, 3)"
258,Schizophrenia (1226).jpg,infected,JPEG,RGB,"(355, 290, 3)"
259,Schizophrenia (1227).jpg,infected,JPEG,RGB,"(354, 279, 3)"
260,Schizophrenia (1228).jpg,infected,JPEG,RGB,"(318, 273, 3)"
261,Schizophrenia (1229).jpg,infected,JPEG,RGB,"(347, 300, 3)"
262,Schizophrenia (123).jpg,infected,JPEG,RGB,"(512, 512, 3)"
263,Schizophrenia (1230).jpg,infected,JPEG,RGB,"(359, 297, 3)"
264,Schizophrenia (1231).jpg,infected,JPEG,RGB,"(342, 273, 3)"
265,Schizophrenia (1232).jpg,infected,JPEG,RGB,"(256, 256, 3)"
266,Schizophrenia (1233).jpg,infected,JPEG,RGB,"(340, 314, 3)"
267,Schizophrenia (1234).jpg,infected,JPEG,RGB,"(300, 240, 3)"
268,Schizophrenia (1235).jpg,infected,JPEG,RGB,"(277, 272, 3)"
270,Schizophrenia (1237).jpg,infected,JPEG,RGB,"(344, 279, 3)"
271,Schizophrenia (1238).jpg,infected,JPEG,RGB,"(331, 272, 3)"
272,Schizophrenia (1239).jpg,infected,JPEG,RGB,"(351, 278, 3)"
273,Schizophrenia (124).jpg,infected,JPEG,RGB,"(512, 512, 3)"
274,Schizophrenia (1240).jpg,infected,JPEG,RGB,"(237, 213, 3)"
275,Schizophrenia (1241).jpg,infected,JPEG,RGB,"(355, 294, 3)"
276,Schizophrenia (1242).jpg,infected,JPEG,RGB,"(236, 213, 3)"
277,Schizophrenia (1243).jpg,infected,JPEG,RGB,"(338, 283, 3)"
278,Schizophrenia (1244).jpg,infected,JPEG,RGB,"(251, 201, 3)"
279,Schizophrenia (1245).jpg,infected,JPEG,RGB,"(295, 283, 3)"
280,Schizophrenia (1246).jpg,infected,JPEG,RGB,"(352, 281, 3)"
281,Schizophrenia (1247).jpg,infected,JPEG,RGB,"(960, 781, 3)"
282,Schizophrenia (1248).jpg,infected,JPEG,RGB,"(349, 292, 3)"
283,Schizophrenia (1249).jpg,infected,JPEG,RGB,"(630, 628, 3)"
284,Schizophrenia (125).jpg,infected,JPEG,RGB,"(512, 512, 3)"
285,Schizophrenia (1250).jpg,infected,JPEG,RGB,"(630, 630, 3)"
286,Schizophrenia (1251).jpg,infected,JPEG,RGB,"(630, 630, 3)"
287,Schizophrenia (1252).jpg,infected,JPEG,RGB,"(519, 456, 3)"
288,Schizophrenia (1253).jpg,infected,JPEG,RGB,"(555, 526, 3)"
289,Schizophrenia (1254).jpg,infected,JPEG,RGB,"(512, 512, 3)"
290,Schizophrenia (1255).jpg,infected,JPEG,RGB,"(446, 450, 3)"
291,Schizophrenia (1256).jpg,infected,JPEG,RGB,"(225, 225, 3)"
292,Schizophrenia (1257).jpg,infected,JPEG,RGB,"(365, 306, 3)"
294,Schizophrenia (1259).jpg,infected,JPEG,RGB,"(210, 200, 3)"
295,Schizophrenia (126).jpg,infected,JPEG,RGB,"(512, 512, 3)"
296,Schizophrenia (1260).jpg,infected,JPEG,RGB,"(337, 293, 3)"
297,Schizophrenia (1261).jpg,infected,JPEG,RGB,"(340, 291, 3)"
298,Schizophrenia (1262).jpg,infected,JPEG,RGB,"(307, 271, 3)"
300,Schizophrenia (1264).jpg,infected,JPEG,RGB,"(219, 230, 3)"
301,Schizophrenia (1265).jpg,infected,JPEG,RGB,"(520, 433, 3)"
303,Schizophrenia (1267).jpg,infected,JPEG,RGB,"(243, 205, 3)"
304,Schizophrenia (1268).jpg,infected,JPEG,RGB,"(340, 288, 3)"
305,Schizophrenia (1269).jpg,infected,JPEG,RGB,"(630, 504, 3)"
306,Schizophrenia (127).jpg,infected,JPEG,RGB,"(512, 512, 3)"
307,Schizophrenia (1270).jpg,infected,JPEG,RGB,"(456, 374, 3)"
309,Schizophrenia (1272).jpg,infected,JPEG,RGB,"(349, 300, 3)"
310,Schizophrenia (1273).jpg,infected,JPEG,RGB,"(290, 250, 3)"
311,Schizophrenia (1274).jpg,infected,JPEG,RGB,"(442, 353, 3)"
312,Schizophrenia (1275).jpg,infected,JPEG,RGB,"(353, 300, 3)"
313,Schizophrenia (1276).jpg,infected,JPEG,RGB,"(446, 450, 3)"
314,Schizophrenia (1277).jpg,infected,JPEG,RGB,"(234, 216, 3)"
315,Schizophrenia (1278).jpg,infected,JPEG,RGB,"(350, 272, 3)"
316,Schizophrenia (1279).jpg,infected,JPEG,RGB,"(286, 241, 3)"
317,Schizophrenia (128).jpg,infected,JPEG,RGB,"(512, 512, 3)"
318,Schizophrenia (1280).jpg,infected,JPEG,RGB,"(630, 630, 3)"
319,Schizophrenia (1281).jpg,infected,JPEG,RGB,"(260, 194, 3)"
321,Schizophrenia (1283).jpg,infected,JPEG,RGB,"(225, 225, 3)"
322,Schizophrenia (1284).jpg,infected,JPEG,RGB,"(938, 864, 3)"
323,Schizophrenia (1285).jpg,infected,JPEG,RGB,"(355, 272, 3)"
324,Schizophrenia (1286).jpg,infected,JPEG,RGB,"(323, 276, 3)"
325,Schizophrenia (1287).jpg,infected,JPEG,RGB,"(357, 283, 3)"
326,Schizophrenia (1288).jpg,infected,JPEG,RGB,"(348, 287, 3)"
327,Schizophrenia (1289).jpg,infected,JPEG,RGB,"(630, 587, 3)"
328,Schizophrenia (129).jpg,infected,JPEG,RGB,"(512, 512, 3)"
329,Schizophrenia (1290).jpg,infected,JPEG,RGB,"(369, 400, 3)"
330,Schizophrenia (1291).jpg,infected,JPEG,RGB,"(309, 232, 3)"
331,Schizophrenia (1292).jpg,infected,JPEG,RGB,"(348, 297, 3)"
332,Schizophrenia (1293).jpg,infected,JPEG,RGB,"(351, 273, 3)"
333,Schizophrenia (1294).jpg,infected,JPEG,RGB,"(316, 270, 3)"
334,Schizophrenia (1295).jpg,infected,JPEG,RGB,"(336, 264, 3)"
335,Schizophrenia (1296).jpg,infected,JPEG,RGB,"(303, 223, 3)"
336,Schizophrenia (1297).jpg,infected,JPEG,RGB,"(354, 279, 3)"
337,Schizophrenia (1298).jpg,infected,JPEG,RGB,"(318, 273, 3)"
338,Schizophrenia (1299).jpg,infected,JPEG,RGB,"(347, 300, 3)"
339,Schizophrenia (13).jpg,infected,JPEG,RGB,"(512, 512, 3)"
340,Schizophrenia (13).tif,infected,TIFF,RGB,"(256, 256, 3)"
341,Schizophrenia (130).jpg,infected,JPEG,RGB,"(512, 512, 3)"
342,Schizophrenia (1300).jpg,infected,JPEG,RGB,"(359, 297, 3)"
343,Schizophrenia (1301).jpg,infected,JPEG,RGB,"(342, 273, 3)"
344,Schizophrenia (1302).jpg,infected,JPEG,RGB,"(256, 256, 3)"
345,Schizophrenia (1303).jpg,infected,JPEG,RGB,"(340, 314, 3)"
346,Schizophrenia (1304).jpg,infected,JPEG,RGB,"(277, 272, 3)"
347,Schizophrenia (1305).jpg,infected,JPEG,RGB,"(344, 279, 3)"
348,Schizophrenia (1306).jpg,infected,JPEG,RGB,"(331, 272, 3)"
349,Schizophrenia (1307).jpg,infected,JPEG,RGB,"(351, 278, 3)"
